OID_,OBJECTID,Island,NAVD88,Category,Random,Latitude,Longitude
0,1,Thompson,2.026,Cultural,0.000000000000000,42.317455522899998,-71.009218094999994
1,2,Thompson,2.672,Cultural,0.000000000000000,42.318498367600000,-71.009128263199997
2,3,Thompson,4.725,Cultural,0.000000000000000,42.317714574699998,-71.008894701399996
3,4,Long,11.77439976,Cultural,0.000000000000000,42.317169900000003,-70.969126284500007
4,5,Long,14.22229958,Cultural,0.000000000000000,42.323891657099999,-70.965470141500006
5,6,Long,20.55240059,Cultural,0.000000000000000,42.319056314900003,-70.965272511600006
6,7,Long,15.92870045,Cultural,0.000000000000000,42.324217099199998,-70.964598775499994
7,8,Long,23.94219971,Cultural,0.000000000000000,42.321938967400001,-70.963969954299998
8,9,Long,23.88290024,Cultural,0.000000000000000,42.322098372799999,-70.963853173399997
9,10,Long,11.80720043,Cultural,0.000000000000000,42.324854695799999,-70.963880122399999
10,11,Long,17.061,Cultural,0.000000000000000,42.322795767199999,-70.962299088099996
11,12,Long,2.459,Cultural,0.000000000000000,42.326886991499997,-70.960969581699999
12,13,Long,2.126,Cultural,0.000000000000000,42.327059667400000,-70.960960597899998
13,14,Long,2.712,Cultural,0.000000000000000,42.326780728800003,-70.960780935100004
14,15,Long,3.959,Cultural,0.000000000000000,42.326395527000003,-70.960116182299998
15,16,Long,3.542,Cultural,0.000000000000000,42.326993253700003,-70.959783804799997
16,17,Long,3.205,Cultural,0.000000000000000,42.327664028500003,-70.959792788300007
17,18,Long,3.53,Cultural,0.000000000000000,42.327092873900000,-70.959640074299998
18,19,Long,3.606,Cultural,0.000000000000000,42.328221894400002,-70.959388547000003
19,20,Long,2.073,Cultural,0.000000000000000,42.328560597100001,-70.959298715200006
20,21,Long,3.172,Cultural,0.000000000000000,42.327146004500001,-70.958831591299997
21,22,Long,1.937,Cultural,0.000000000000000,42.329264560900000,-70.958795658599996
22,23,Long,4.834,Cultural,0.000000000000000,42.329603258100001,-70.958696843300004
23,24,Peddocks,2.589,Cultural,0.000000000000000,42.291877175400003,-70.940479010299995
24,25,Peddocks,3.879,Cultural,0.000000000000000,42.291824015099998,-70.940182565800001
25,26,Peddocks,4.888,Cultural,0.000000000000000,42.291863884900003,-70.940065784200002
26,27,Peddocks,3.769200087,Cultural,0.000000000000000,42.291365502399998,-70.940020869400001
27,28,Peddocks,6.671,Cultural,0.000000000000000,42.291923690700003,-70.939832222400000
28,29,Peddocks,3.471400023,Cultural,0.000000000000000,42.290873760600000,-70.939715441600001
29,30,Peddocks,3.196949959,Cultural,0.000000000000000,42.290687695700001,-70.939652559699994
30,31,Peddocks,9.464130402,Cultural,0.000000000000000,42.292089817300003,-70.939401031499997
31,32,Peddocks,9.872059822,Cultural,0.000000000000000,42.292156267700001,-70.939257300999998
32,33,Peddocks,7.809090137,Cultural,0.000000000000000,42.291019954299998,-70.939113570999993
33,34,Peddocks,6.245369911,Cultural,0.000000000000000,42.290574726700001,-70.938790176799998
34,35,Peddocks,4.959189892,Cultural,0.000000000000000,42.293299206000000,-70.937137277100007
35,36,Peddocks,5.226,Cultural,0.000000000000000,42.290887051299997,-70.936840832399994
